Product				https://www.fibl.org/de/standorte/oesterreich/schwerpunkte-at/klimaschutz/klimaschutz-projekte/co2-fussabdruck.html	production	transport	packaging	storage
Potato (eco)	0.152	Zurück zum Ursprung; Production: 0.063; Transport: 0.051; Packaging: 0.027; Storage: 0.011; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.063	0.051	0.027	0.011
Carrot	0.097	Konventionell; Production: 0.036; Transport: 0.04; Packaging: 0.01; Storage: 0.011; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.036	0.04	0.01	0.011
Carrot (eco)	0.08	Zurück zum Ursprung; Production: 0.018; Transport: 0.04; Packaging: 0.01; Storage: 0.011; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.018	0.04	0.01	0.011
Onion	0.156	Konventionell; Production: 0.054; Transport: 0.05; Packaging: 0.038; Storage: 0.014; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.054	0.05	0.038	0.014
Onion (eco)	0.136	Zurück zum Ursprung; Production: 0.034; Transport: 0.05; Packaging: 0.038; Storage: 0.014; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.034	0.05	0.038	0.014
Milk	1.186	Murauer, 3,5% fat, Konventionell; Production: 1.157; Transport: 0.06; Packaging: 0.059; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_milch_090625.pdf	Murauer, 3,5% fat, Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_milch_090625.pdf	1.157	0.06	0.059	
Milk (eco)	1.027	Murauer, 3,5% fat, Zurück zum Ursprung; Production: 0.97; Transport: 0.06; Packaging: 0.059; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_milch_090625.pdf	Murauer, 3,5% fat, Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_milch_090625.pdf	0.97	0.06	0.059	
Low-fat milk	0.615	Murauer, 1,5% fat, Konventionell; Production: 0.461; Transport: 0.062; Packaging: 0.059; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_milch_090625.pdf	Murauer, 1,5% fat, Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_milch_090625.pdf	0.461	0.062	0.059	
Low-fat milk (eco)	0.54	Murauer, 1,5% fat, Zurück zum Ursprung; Production: 0.387; Transport: 0.062; Packaging: 0.059; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_milch_090625.pdf	Murauer, 1,5% fat, Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_milch_090625.pdf	0.387	0.062	0.059	
Butter	27.6	Joghurt-butter, Konventionell; Production: 19.7; Transport: 7.8; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_butter.pdf	Joghurt-butter, Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_butter.pdf	19.7	7.8		
