Name	Median	Remark
Hazelnuts	0.97	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 0.97; Stdev: 0.76; Min: 0.43; Max: 1.5
Herring	1.16	Table 5 Median; #LCA studies: 3; #GWP values: 4; Mean: 1.17; Stdev: 0.17; Min: 0.98; Max: 1.39
Kangaroo	4.1	Table 5 Median; #LCA studies: 1; #GWP values: 1
Kiwi	0.36	Table 5 Median; #LCA studies: 5; #GWP values: 9; Mean: 0.47; Stdev: 0.26; Min: 0.15; Max: 0.88
Lamb	25.58	Table 5 Median; #LCA studies: 22; #GWP values: 56; Mean: 27.91; Stdev: 11.93; Min: 10.05; Max: 56.7
Legumes	0.51	Table 4 Median; #LCA studies: 16; #GWP values: 51; Mean: 0.66; Stdev: 0.45; Min: 0.15; Max: 2.46
Lemons	0.26	Table 5 Median; #LCA studies: 2; #GWP values: 3; Mean: 0.3; Stdev: 0.06; Min: 0.18; Max: 0.45
Lentils	1.03	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 1.03; Stdev: 0.04; Min: 1; Max: 1.06
Lettuce (greenhouse, heated)	3.7	Table 5 Median; #LCA studies: 3; #GWP values: 5; Mean: 3.15; Stdev: 1.64; Min: 1.3; Max: 4.73
Limes	0.26	Table 5 Median; #LCA studies: 2; #GWP values: 3; Mean: 0.3; Stdev: 0.06; Min: 0.18; Max: 0.45
Ling	6.45	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 6.45; Stdev: 4.69; Min: 3.13; Max: 9.77
Lobster	27.8	Table 5 Median; #LCA studies: 3; #GWP values: 2; Mean: 21.74; Stdev: 11.7; Min: 7.62; Max: 28.3
Mackerel	1.8	Table 5 Median; #LCA studies: 9; #GWP values: 21; Mean: 2; Stdev: 1.08; Min: 0.94; Max: 4.5
Mandarin	0.45	Table 5 Median; #LCA studies: 1; #GWP values: 1
Mandarins	0.51	Table 5 Median; #LCA studies: 1; #GWP values: 1
Megrim	14.15	Table 5 Median; #LCA studies: 1; #GWP values: 1
Melon (greenhouse, passive)	1.43	Table 5 Median; #LCA studies: 1; #GWP values: 3; Mean: 1.37; Stdev: 0.11; Min: 1.24; Max: 1.43
Melons	0.51	Table 5 Median; #LCA studies: 4; #GWP values: 5; Mean: 0.88; Stdev: 0.01; Min: 0.3; Max: 1.74
Milk	1.29	Table 4 Median; #LCA studies: 77; #GWP values: 262; Mean: 1.39; Stdev: 0.58; Min: 0.54; Max: 7.5
Mushrooms	0.27	Table 5 Median; #LCA studies: 3; #GWP values: 2; Mean: 0.27; Stdev: 0.29; Min: 0.06; Max: 0.48
Mussels	9.51	Table 5 Median; #LCA studies: 3; #GWP values: 5; Mean: 7.54; Stdev: 4.93; Min: 1.92; Max: 13.9
Mustard seed	2.09	Table 5 Median; #LCA studies: 1; #GWP values: 1
Nectarines	0.43	Table 5 Median; #LCA studies: 3; #GWP values: 3; Mean: 0.54; Stdev: 0.24; Min: 0.38; Max: 0.81
Oats	0.38	Table 5 Median; #LCA studies: 4; #GWP values: 6; Mean: 0.44; Stdev: 0.12; Min: 0.38; Max: 0.67
Octopus	7.13	Table 5 Median; #LCA studies: 3; #GWP values: 4; Mean: 8.07; Stdev: 2.4; Min: 6.39; Max: 11.61
Olives	0.63	Table 5 Median; #LCA studies: 4; #GWP values: 8; Mean: 0.56; Stdev: 0.22; Min: 0.22; Max: 0.85
Onion	0.17	Table 5 Median; #LCA studies: 7; #GWP values: 9; Mean: 0.18; Stdev: 0.11; Min: 0.06; Max: 0.37
Orange	0.33	Table 5 Median; #LCA studies: 9; #GWP values: 20; Mean: 0.35; Stdev: 0.12; Min: 0.18; Max: 0.59
Peaches	0.43	Table 5 Median; #LCA studies: 3; #GWP values: 3; Mean: 0.54; Stdev: 0.24; Min: 0.38; Max: 0.81
Peanuts	0.83	Table 5 Median; #LCA studies: 3; #GWP values: 6; Mean: 0.87; Stdev: 0.11; Min: 0.8; Max: 1.1
Pears	0.31	Table 5 Median; #LCA studies: 4; #GWP values: 8; Mean: 0.33; Stdev: 0.13; Min: 0.19; Max: 0.63
Peas	0.38	Table 5 Median; #LCA studies: 6; #GWP values: 8; Mean: 0.6; Stdev: 0.77; Min: 0.15; Max: 2.46
Pilchard	1.1	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 1.1; Stdev: 0.45; Min: 0.78; Max: 1.41
